,b_tot_woba,batter,batter_handedness,batter_salary,bwaph,p_tot_woba,pitcher,pitcher_handedness,pitcher_salary,pwabh,total_woba
0,0.336757,Ian Happ,L,4600.0,0.337723,0.285608,Jose Urena,R,5000.0,0.285428,0.622365
1,0.355397,Kris Bryant,R,5300.0,0.351759,0.285608,Jose Urena,R,5000.0,0.285779,0.641005
2,0.346055,Anthony Rizzo,L,5200.0,0.341408,0.285608,Jose Urena,R,5000.0,0.285428,0.631663
3,0.335101,Willson Contreras,R,4800.0,0.321765,0.285608,Jose Urena,R,5000.0,0.285779,0.620709
4,0.295255,Kyle Schwarber,L,4600.0,0.301323,0.285608,Jose Urena,R,5000.0,0.285428,0.580863
5,0.294635,Addison Russell,R,3500.0,0.289307,0.285608,Jose Urena,R,5000.0,0.285779,0.580243
6,0.284551,Jason Heyward,L,3400.0,0.284483,0.285608,Jose Urena,R,5000.0,0.285428,0.570159
7,0.333442,Javier Baez,R,3700.0,0.306786,0.285608,Jose Urena,R,5000.0,0.285779,0.61905
8,0.301224,Derek Dietrich,L,3300.0,0.326074,0.304975,Jon Lester,L,10900.0,0.238228,0.606199
9,0.336194,Starlin Castro,R,3600.0,0.360829,0.304975,Jon Lester,L,10900.0,0.322064,0.641169
10,0.362576,Justin Bour,L,3400.0,0.384884,0.304975,Jon Lester,L,10900.0,0.238228,0.667551
11,0.366628,Garrett Cooper,R,2800.0,0.4,0.304975,Jon Lester,L,10900.0,0.322064,0.671603
12,0.279494,Miguel Rojas,R,2700.0,0.284095,0.304975,Jon Lester,L,10900.0,0.322064,0.584469
13,0.307605,Adam Frazier,L,3500.0,0.306992,0.358494,Jordan Zimmermann,R,6000.0,0.364975,0.666099
14,0.312119,Josh Harrison,R,4000.0,0.302688,0.358494,Jordan Zimmermann,R,6000.0,0.352136,0.670613
15,0.295255,Gregory Polanco,L,4500.0,0.302815,0.358494,Jordan Zimmermann,R,6000.0,0.364975,0.653749
16,0.315327,Josh Bell,L,unknown,0.326593,0.358494,Jordan Zimmermann,R,6000.0,0.364975,0.673821
17,0.334446,Corey Dickerson,L,4300,0.330675,0.358494,Jordan Zimmermann,R,6000.0,0.364975,0.69294
18,0.267357,Starling Marte,R,4800,0.302163,0.358494,Jordan Zimmermann,R,6000.0,0.352136,0.625851
19,0.286351,Francisco Cervelli,R,3400,0.290272,0.358494,Jordan Zimmermann,R,6000.0,0.352136,0.644845
20,0.610333,Colin Moran,L,3200,0.626,0.358494,Jordan Zimmermann,R,6000.0,0.364975,0.968827
21,0.310818,Jordy Mercer,R,3100,0.314579,0.358494,Jordan Zimmermann,R,6000.0,0.352136,0.669312
22,0.328263,Dexter Fowler,L,3600,0.341911,0.250924,Noah Syndergaard,R,12100.0,0.221726,0.579187
23,0.343964,Tommy Pham,R,3700,0.343766,0.250924,Noah Syndergaard,R,12100.0,0.28325,0.594888
24,0.305969,Matt Carpenter,L,3500,0.32142,0.250924,Noah Syndergaard,R,12100.0,0.221726,0.556893
25,0.358584,Marcell Ozuna,R,3800,0.361651,0.250924,Noah Syndergaard,R,12100.0,0.28325,0.609508
26,0.367357,Jose Martinez,R,3200,0.322104,0.250924,Noah Syndergaard,R,12100.0,0.28325,0.618281
27,0.317193,Yadier Molina,R,2900,0.30845,0.250924,Noah Syndergaard,R,12100.0,0.28325,0.568117
28,0.352668,Paul DeJong,R,3400,0.342701,0.250924,Noah Syndergaard,R,12100.0,0.28325,0.603592
29,0.322519,Kolten Wong,L,2900,0.328972,0.250924,Noah Syndergaard,R,12100.0,0.221726,0.573443
30,0.30543,Brandon Nimmo,L,3300,0.299635,0.277619,Carlos Martinez,R,11100.0,0.312628,0.583049
31,0.355003,Yoenis Cespedes,R,4200,0.351788,0.277619,Carlos Martinez,R,11100.0,0.244376,0.632622
32,0.333868,Jay Bruce,L,3700,0.346799,0.277619,Carlos Martinez,R,11100.0,0.312628,0.611487
33,0.307385,Asdrubal Cabrera,L,3200,0.288427,0.277619,Carlos Martinez,R,11100.0,0.312628,0.585004
34,0.291749,Todd Frazier,R,3400,0.279035,0.277619,Carlos Martinez,R,11100.0,0.244376,0.569368
35,0.258057,Adrian Gonzalez,L,3300,0.263417,0.277619,Carlos Martinez,R,11100.0,0.312628,0.535676
36,0.286663,Kevin Plawecki,R,2400,0.301333,0.277619,Carlos Martinez,R,11100.0,0.244376,0.564282
37,0.314648,Amed Rosario,R,3000,0.2645,0.277619,Carlos Martinez,R,11100.0,0.244376,0.592267
38,0.324121,Brian Dozier,R,4500,0.303894,0.290392,Dylan Bundy,R,6800.0,0.277473,0.614513
39,0.321152,Joe Mauer,L,3900,0.322631,0.290392,Dylan Bundy,R,6800.0,0.304435,0.611544
40,0.341796,Miguel Sano,R,4700,0.327243,0.290392,Dylan Bundy,R,6800.0,0.277473,0.632188
41,0.336324,Eddie Rosario,L,3500,0.356616,0.290392,Dylan Bundy,R,6800.0,0.304435,0.626716
42,0.335057,Logan Morrison,L,4100,0.348829,0.290392,Dylan Bundy,R,6800.0,0.304435,0.625449
43,0.307836,Eduardo Escobar,L,3300,0.304722,0.290392,Dylan Bundy,R,6800.0,0.304435,0.598228
44,0.294489,Max Kepler,L,3500,0.331827,0.290392,Dylan Bundy,R,6800.0,0.304435,0.584881
45,0.295203,Byron Buxton,R,4000,0.280541,0.290392,Dylan Bundy,R,6800.0,0.277473,0.585595
46,0.286195,Jason Castro,L,3000,0.276448,0.290392,Dylan Bundy,R,6800.0,0.304435,0.576587
47,0.289269,Chris Davis,L,3700,0.297563,0.299891,Jake Odorizzi,R,6700.0,0.281297,0.58916
48,0.322773,Manny Machado,R,4800,0.31893,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.622664
49,0.349823,Jonathan Schoop,R,4100,0.339471,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.649714
50,0.32704,Adam Jones,R,4000,0.330002,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.626931
51,0.331857,Trey Mancini,R,3600,0.348026,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.631748
52,0.324886,Tim Beckham,R,3800,0.329247,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.624777
53,0.294844,Craig Gentry,R,2300,0.250138,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.594735
54,0.304931,Caleb Joseph,R,2700,0.292347,0.299891,Jake Odorizzi,R,6700.0,0.313863,0.604822
55,0.354297,George Springer,R,4900,0.381229,0.279704,Cole Hamels,L,6400.0,0.291976,0.634001
