batter,against,batter_avg_fant,prob_fant_abov_avg
Brian Goodwin,Kyle Hendricks,3.33834630827,0.318495526715
Howie Kendrick,Kyle Freeland,3.58163332653,0.284388823409
Bryce Harper,Kyle Hendricks,4.21621499228,0.351705692052
Daniel Murphy,Kyle Hendricks,3.7523426747,0.302335657441
Anthony Rendon,Kyle Hendricks,3.80327885246,0.351075074655
Adam Lind,Kyle Hendricks,3.29661063559,0.278226879749
Matt Wieters,Kyle Hendricks,2.3382357549,0.365008719581
Wilmer Difo,Kyle Hendricks,2.49593508943,0.455698845755
Jon Jay,Tanner Roark,2.48393585542,0.428100344909
Kris Bryant,Tanner Roark,3.61885773307,0.377199546185
Anthony Rizzo,Tanner Roark,3.65805746863,0.349190015121
Willson Contreras,Tanner Roark,3.20570728378,0.392754851489
Ben Zobrist,Tanner Roark,2.63586944022,0.390321935587
Kyle Schwarber,Tanner Roark,2.77339910837,0.312939930493
Jason Heyward,Tanner Roark,2.68794345745,0.369960106119
Javier Baez,Tanner Roark,2.96700503046,0.384951625886
Billy Hamilton,Mike Leake,3.63070640664,0.383306621411
Jesse Winker,Mike Leake,3.45000025,0.401028173903
Joey Votto,Mike Leake,4.13725497647,0.277200841066
Adam Duvall,Mike Leake,3.69105689024,0.306833786547
Scooter Gennett,Mike Leake,3.53367939378,0.331334924458
Eugenio Suarez,Mike Leake,3.37974634177,0.350911006769
Jose Peraza,Mike Leake,2.60089652466,0.384308114156
Tucker Barnhart,Mike Leake,2.29518048795,0.369015559147
